algorithm,timestamp,inputSize,inputType,comparisons,arrayAccesses,memoryAllocations,timeNanos,timeMillis
KadaneAlgorithm,1759614459811,1000,standard,3094,1002,1,98400,0
KadaneAlgorithm,1759614459812,1000,standard,3027,1002,1,136900,0
KadaneAlgorithm,1759614459812,1000,standard,3043,1002,1,137700,0
KadaneAlgorithm,1759614459814,5000,standard,15147,5002,1,438400,0
KadaneAlgorithm,1759614459815,5000,standard,15128,5002,1,383300,0
KadaneAlgorithm,1759614459815,5000,standard,15087,5002,1,344700,0
KadaneAlgorithm,1759614459816,10000,standard,30075,10002,1,586900,0
KadaneAlgorithm,1759614459817,10000,standard,30103,10002,1,565300,0
KadaneAlgorithm,1759614459818,10000,standard,30337,10002,1,562400,0
KadaneAlgorithm,1759614459819,100,standard,306,102,1,8300,0
KadaneAlgorithm,1759614459819,100,standard,309,102,1,8200,0
KadaneAlgorithm,1759614459819,100,standard,313,102,1,6900,0
KadaneAlgorithm,1759614459819,100,standard,309,102,1,6700,0
KadaneAlgorithm,1759614459819,100,standard,307,102,1,6400,0
KadaneAlgorithm,1759614459840,100,standard,397,102,1,9300,0
KadaneAlgorithm,1759614459840,100,standard,397,102,1,7600,0
KadaneAlgorithm,1759614459840,100,standard,397,102,1,7600,0
KadaneAlgorithm,1759614459840,100,standard,397,102,1,7300,0
KadaneAlgorithm,1759614459840,100,standard,397,102,1,7400,0
KadaneAlgorithm,1759614459841,100,standard,397,102,1,8000,0
KadaneAlgorithm,1759614459841,100,standard,397,102,1,8800,0
KadaneAlgorithm,1759614459841,100,standard,397,102,1,7300,0
KadaneAlgorithm,1759614459841,100,standard,397,102,1,7300,0
KadaneAlgorithm,1759614459841,100,standard,397,102,1,7600,0
KadaneAlgorithm,1759614459841,100,standard,397,102,1,8200,0
KadaneAlgorithm,1759614459841,100,standard,397,102,1,7400,0
KadaneAlgorithm,1759614459841,100,standard,397,102,1,7000,0
KadaneAlgorithm,1759614459841,100,standard,397,102,1,5400,0
KadaneAlgorithm,1759614459841,100,standard,397,102,1,5200,0
KadaneAlgorithm,1759614459842,100,standard,302,102,1,7000,0
KadaneAlgorithm,1759614459842,100,standard,299,102,1,6700,0
KadaneAlgorithm,1759614459842,100,standard,303,102,1,7000,0
KadaneAlgorithm,1759614459842,100,standard,300,102,1,6300,0
KadaneAlgorithm,1759614459842,100,standard,300,102,1,6400,0
KadaneAlgorithm,1759614459842,100,standard,298,102,1,8300,0
KadaneAlgorithm,1759614459842,100,standard,298,102,1,6000,0
KadaneAlgorithm,1759614459842,100,standard,298,102,1,6100,0
KadaneAlgorithm,1759614459842,100,standard,298,102,1,5700,0
KadaneAlgorithm,1759614459842,100,standard,298,102,1,5700,0
